file_name,item_id,icon,add_advancement,advancement_id,display_name,page_type,page_text,meta,title,border
,,,FALSE,,,multiblock,The glass block represents any solid block,"{""mapping"":{""P"":""pyrotech:kiln_pit"",""G"":""thebetweenlands:silt_glass"",""D"":""thebetweenlands:swamp_dirt""},""pattern"":[["" G "",""GPG"","" G ""],[""   "","" D "",""   ""],[""   "","" 0 "",""   ""]]}",,FALSE
assembler,<rustichromia:assembler1>,<rustichromia:assembler1>,FALSE,,Assembler,spotlight,More complicated machines and blocks need to be created in an assembler.$(br2)These mechanical crafters require a minimum (and sometimes maximum) amount of rotational power to function.,<rustichromia:assembler1>,,FALSE
,,,FALSE,,,text,"One of the faces acts as the output, while the others act as the input.$(br2)Using hoppers or pipes, items can be piped into these slots.$(br2)The simple assmelber can only hold up to 4 different item types.$(br2)Right-click the assembler to select a recipe, otherwise it will craft whatever it can with the items available.",,,
rotational_power,<rustichromia:windmill>,<rustichromia:windmill>,FALSE,,Rotational Power,text,"Rotational power is the main method of powering a lot of machinery.$(br2)There are several ways to achieve this, which will be laid out here as i discover them.",,,FALSE
,,,FALSE,,,spotlight,"The earlierst form of rotational power can be achieved with windmills.$(br2)The higher these are placed, the faster they can spin, producing more power.$(br2)Additional blades can be attached to speed them up as well.",<rustichromia:windmill>,,FALSE
,,,FALSE,,,spotlight,"A ratiobox can transfer rotational power between windmill, axles, machines, etc.$(br2)Right-click any of it's faces with an axle to change the input/output mode.$(br2)Right-click it with an empty hand to specify its power distribution.",<rustichromia:ratiobox>,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
,,,FALSE,,,,,,,FALSE
